bin_start,pc1_compartment_score
0,0.03262736802491249
100000,0.043425110514176524
200000,0.05548678472247848
300000,0.05341251437620409
400000,0.060027054082432245
500000,0.043071111930965966
600000,0.048090214729017304
700000,0.05380871300913722
800000,0.0403232029978055
900000,0.01563496609108486
1000000,-0.0013894738980527383
1100000,-0.019647757458370316
1200000,-0.0099963918464369
1300000,-0.017469691732389894
1400000,-0.010678918320545657
1500000,-0.008014032082937203
1600000,0.021415609537236736
1700000,-0.0008295511771421284
1800000,-0.012818073462670122
1900000,-0.01651937151263738
2000000,0.02175296498429866
2100000,-0.0007990448686773132
2200000,0.0038145820647426296
2300000,0.008951938650973896
2400000,-0.004618613076963253
2500000,0.0375463746300214
2600000,0.05787770204177443
2700000,0.04518060165121234
2800000,0.033392557057375975
2900000,0.04643545847972206
3000000,0.04838962332710806
3100000,0.040175391327010306
3200000,0.03709880899924187
3300000,0.012604027668070488
3400000,0.024021711080700264
3500000,0.002951143557344776
3600000,0.015445741892753627
3700000,0.018445971568982828
3800000,0.01684974859790004
3900000,0.01489485366891988
4000000,-0.008721695776451013
4100000,-0.018400926052494437
4200000,-0.003989249673119621
4300000,-0.037198054366763475
4400000,-0.0353809663123411
4500000,-0.04387675609473832
4600000,-0.03955548650103913
4700000,-0.04307986545447828
4800000,-0.04093526934774557
4900000,-0.04088129055563206
5000000,-0.03441989841581097
5100000,-0.03527733288907936
5200000,-0.004371940591097109
5300000,-0.017403948625164353
5400000,-0.008589887007310807
5500000,-0.00011355078253030317
5600000,0.009767985712701297
5700000,-0.015704306806406748
5800000,-0.014892640640438593
5900000,-0.019714931268513557
6000000,-0.03925214429919411
6100000,-0.03592577976990632
6200000,-0.02614214533057297
6300000,-0.03457783364807837
6400000,-0.02937908407659315
6500000,-0.04213670688824884
6600000,-0.03329206309027542
6700000,-0.03319074418408626
6800000,-0.04025786875531093
6900000,-0.03665737245428754
7000000,-0.0251307401664772
7100000,-0.029928901340532756
7200000,-0.028201986404039852
7300000,-0.023682611944165176
7400000,-0.018933481351636916
7500000,-0.023941101077801338
7600000,-0.030462928866271884
7700000,-0.029365422488308975
7800000,-0.03005323671645447
7900000,-0.01715130359241603
8000000,-0.0259730967514621
8100000,-0.016648832364443054
8200000,0.00218857717971474
8300000,0.005053616276246325
8400000,-0.02435950338268057
8500000,-0.01600317984349004
8600000,0.025196025311431468
8700000,0.04098196246692143
8800000,0.014212550197739404
8900000,0.02064584393183004
9000000,0.03898698570828092
9100000,0.04846554288800829
9200000,0.02948732687609183
9300000,0.03513551252126171
9400000,0.036495243325712766
9500000,0.054399155027129255
9600000,0.04381665776581126
9700000,0.05404953950683872
9800000,0.03547782749822145
9900000,0.057403609344631575
10000000,0.054116368154092334
10100000,0.052148845856625006
10200000,0.05542613841590245
10300000,0.05792935846837315
10400000,0.06003023965260168
10500000,0.05773481016607025
10600000,0.05638532431020665
10700000,0.04564009254156435
10800000,0.04261845285673087
10900000,0.04926458788943559
11000000,0.05213794063326706
11100000,0.053654691473450214
11200000,0.04374183574011371
11300000,0.04355685581340537
11400000,0.033787665624031016
11500000,0.04783625301442097
11600000,0.03359144729554669
11700000,0.03483212690461919
11800000,0.04526965972667292
11900000,0.05153812085176729
12000000,0.04782226689544246
12100000,0.014970859913107459
12200000,0.04380184249930042
12300000,0.055285569337472695
12400000,0.04571112263053208
12500000,0.02638663927060605
12600000,0.055403938932028135
12700000,0.03817017760115186
12800000,0.03991775305237621
12900000,0.04427893046845972
13000000,0.050222264668363256
13100000,0.04480470799091231
13200000,0.04533907463140641
13300000,0.04532696417690825
13400000,0.05484413382051688
13500000,0.03162176481931553
